ocorrencia_classificacao;ocorrencia_uf;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo_veiculo;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano
ACIDENTE;MG;1;NÃO;***;***;***;***;NÃO REGULAR;***
ACIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL
INCIDENTE;PR;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;DF;1;NÃO;AVIÃO;JATO;BIMOTOR;APROXIMAÇÃO FINAL;PRIVADA;NENHUM
ACIDENTE;MG;1;NÃO;***;***;***;CRUZEIRO;***;***
INCIDENTE;AM;1;NÃO;AVIÃO;***;***;APROXIMAÇÃO FINAL;TÁXI AÉREO;NENHUM
INCIDENTE GRAVE;PE;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;LEVE
INCIDENTE;DF;1;NÃO;AVIÃO;JATO;BIMOTOR;TÁXI;REGULAR;NENHUM
INCIDENTE;RS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;PARTIDA DO MOTOR;PRIVADA;LEVE
INCIDENTE;MT;1;NÃO;AVIÃO;JATO;BIMOTOR;TÁXI;REGULAR;NENHUM
INCIDENTE GRAVE;SP;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;POUSO;PRIVADA;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
ACIDENTE;MA;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;POUSO;TÁXI AÉREO;SUBSTANCIAL
INCIDENTE;PE;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;POUSO;REGULAR;NENHUM
INCIDENTE;DF;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;DECOLAGEM;TÁXI AÉREO;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;PRIVADA;NENHUM
INCIDENTE GRAVE;MG;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;LEVE
INCIDENTE;MT;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;ARREMETIDA NO SOLO;PRIVADA;LEVE
INCIDENTE;PB;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;RJ;1;NÃO;AVIÃO;TURBOEIXO;BIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE;RS;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;SUBIDA;REGULAR;NENHUM
ACIDENTE;RN;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;MANOBRA;PRIVADA;DESTRUÍDA
INCIDENTE;AM;1;SIM;AVIÃO;***;SEM TRAÇÃO;TÁXI;TÁXI AÉREO;NENHUM
INCIDENTE;MT;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;PRIVADA;NENHUM
INCIDENTE;SC;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;POUSO;POLICIAL;LEVE
INCIDENTE;SP;1;NÃO;***;***;***;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;RJ;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;PE;1;NÃO;AVIÃO;0;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;AM;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
INCIDENTE GRAVE;RS;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
ACIDENTE;MS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;***;PRIVADA;SUBSTANCIAL
INCIDENTE;PE;2;NÃO;AVIÃO;***;SEM TRAÇÃO;APROXIMAÇÃO FINAL;ESPECIALIZADA;NENHUM
INCIDENTE GRAVE;RJ;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;POUSO;INSTRUÇÃO;LEVE
INCIDENTE;CE;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;POUSO;REGULAR;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;***;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE GRAVE;ES;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;APROXIMAÇÃO FINAL;PRIVADA;LEVE
INCIDENTE GRAVE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;POUSO;PRIVADA;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;***;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;SC;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;OPERAÇÃO DE SOLO;INSTRUÇÃO;LEVE
ACIDENTE;AM;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
INCIDENTE;BA;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE GRAVE;MS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;LEVE
INCIDENTE;RJ;1;SIM;HELICÓPTERO;TURBOEIXO;BIMOTOR;DECOLAGEM VERTICAL;TÁXI AÉREO;NENHUM
ACIDENTE;RS;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;APROXIMAÇÃO FINAL;TÁXI AÉREO;SUBSTANCIAL
INCIDENTE GRAVE;BA;1;NÃO;AVIÃO;0;MONOMOTOR;MANOBRA;AGRÍCOLA;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;0;BIMOTOR;SUBIDA;TÁXI AÉREO;NENHUM
INCIDENTE;SC;1;NÃO;HELICÓPTERO;***;***;CRUZEIRO;TÁXI AÉREO;NENHUM
INCIDENTE;PR;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;ESPECIALIZADA;NENHUM
ACIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;SUBIDA;AGRÍCOLA;SUBSTANCIAL
ACIDENTE;SP;1;NÃO;***;***;***;POUSO;EXPERIMENTAL;LEVE
INCIDENTE;PA;1;NÃO;***;***;***;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;***;***;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;***;SEM TRAÇÃO;SUBIDA;NÃO REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;LEVE
INCIDENTE;RS;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;TÁXI;PRIVADA;LEVE
INCIDENTE;AL;1;NÃO;AVIÃO;0;BIMOTOR;DECOLAGEM;REGULAR;LEVE
INCIDENTE;PE;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;CORRIDA APÓS POUSO;REGULAR;NENHUM
ACIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;SUBIDA;ESPECIALIZADA;SUBSTANCIAL
INCIDENTE;PA;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;TÁXI;TÁXI AÉREO;LEVE
ACIDENTE;AC;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;CRUZEIRO;TÁXI AÉREO;SUBSTANCIAL
INCIDENTE GRAVE;MG;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE GRAVE;RJ;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;APROXIMAÇÃO FINAL;TÁXI AÉREO;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;POUSO;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;INSTRUÇÃO;LEVE
INCIDENTE;PE;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;SC;1;NÃO;AVIÃO;JATO;BIMOTOR;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;DF;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;POUSO;POLICIAL;LEVE
